United States of America	Canada	Lebanon	Vietnam	United Kingdom	France	Hong Kong	Austria	United Republic of Tanzania	Palestine	Nicaragua	South Korea	Cuba	Cambodia	Turkey	Portugal	Czech Republic	Papua New Guinea	Costa Rica	North Korea	Guatemala	Jordan	Morocco	Ecuador	Laos	Fiji	Panama	Zambia	Nepal	Democratic Republic of the Congo	Azerbaijan	Bhutan	Venezuela	Cyprus	Czechia	Lesotho	Syria	Cameroon	Solomon Islands	Kenya	Oman	Ukraine	Latvia	Madagascar	Burma	Seychelles	Sri Lanka	Kuwait	Kazakhstan	Mali	Iceland	Switzerland	Montenegro	Armenia	Denmark	Belize	Honduras	Republic of Serbia	Georgia	Mongolia	Botswana	Myanmar	Uruguay	Mozambique	Uzbekistan	Peru	Hungary	Bosnia and Herzegovina	Finland	Rwanda	Bulgaria	Haiti	Bermuda	Albania	Belgium	Tajikistan	Yemen	Slovenia	Tunisia	Kosovo	Namibia	Angola	Afghanistan	Puerto Rico	Bolivia	Iraq	Sierra Leone	El Salvador	Sudan	Croatia	Belarus	Mauritius	Gambia	Zimbabwe	Vanuatu	Antigua & Barbuda 	Kyrgyzstan	Monaco	The Bahamas	East Timor	Guyana	Tonga	Greenland	Turkmenistan	Senegal	Liberia	Swaziland	Estonia	Somalia	Qatar	Chad	Martinique	Guam	Burkina Faso	Maldives	Moldova	Andorra	Algeria	Samoa	Aruba	Lithuania	Malawi	Macedonia	Slovakia	Burundi	Libya	Brunei	Ivory Coast	Barbados	Paraguay	Cape Verde	Togo	New Caledonia	South Sudan	Gabon	Grenada	Eritrea	Central African Republic	Luxembourg	Trinidad and Tobago	Somaliland	Bahrain	Mauritania	Republic of the Congo	Niger	Bangladesh	China	Romania	Philippines	Uganda	Germany	Australia	Brazil	Russia	New Zealand	Japan	Egypt	Ireland	Spain	Italy	Israel	Thailand	Singapore	Saudi Arabia	Argentina	Greece	Chile	South Africa	Jamaica	Sweden	Norway	India	Mexico	Pakistan	Indonesia	Colombia	Poland	Taiwan	Malaysia	Iran	Nigeria	Ethiopia	Malta	Ghana
United States of America	0	106	5	25	538	169	11	10	9	2	18	38	86	8	19	10	6	0	34	33	20	6	11	18	2	7	16	2	9	2	2	1	17	0	1	0	17	3	0	25	1	9	2	1	3	2	6	2	2	3	7	8	2	6	15	7	11	2	4	3	2	5	6	1	1	23	5	4	9	1	3	25	2	1	12	1	5	4	2	1	1	1	17	15	4	7	1	13	0	4	2	0	2	4	1	1	2	1	12	0	3	0	1	0	2	6	1	0	2	4	3	0	1	0	0	1	0	0	0	2	1	2	1	1	1	2	0	2	0	1	1	0	0	0	2	2	0	0	0	1	0	1	0	0	1	0	334	5	28	11	73	66	36	76	29	84	9	27	62	42	38	19	12	24	20	7	11	28	4	5	8	56	97	5	9	9	13	3	8	30	2	12	4	6
Canada	149	0	0	2	27	21	1	2	1	1	0	5	9	0	2	0	1	0	3	1	2	0	0	1	0	0	3	1	2	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	2	6	0	0	2	3	0	0	0	2	0	0	0	0	0	1	0	0	2	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	6	3	6	10	4	3	6	13	3	7	1	9	2	2	0	0	1	0	2	2	2	3	0	8	9	0	3	0	0	1	0	3	0	0	0	0
Lebanon	4	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Vietnam	19	2	0	0	1	0	0	0	0	0	0	3	0	19	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
United Kingdom	36	22	0	1	0	45	3	1	4	0	0	3	0	0	2	4	0	0	1	0	0	1	4	0	0	1	0	1	3	0	0	0	1	3	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	2	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	13	49	4	2	17	2	2	10	10	6	1	0	2	2	0	5	0	10	0	0	5	4	1	1	1	0	2	0	1	0	0	0	1	0
France	161	13	0	1	50	0	1	4	0	0	0	1	1	2	2	3	0	1	0	0	0	0	6	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	1	0	17	0	1	2	0	0	1	1	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	8	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	4	0	1	0	25	19	6	7	9	4	4	7	38	24	4	1	5	1	2	1	1	2	0	3	2	8	2	0	1	0	2	0	1	1	0	4	0	0
Hong Kong	8	5	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	1	1	1	0	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0
Austria	13	4	0	0	6	5	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
United Republic of Tanzania	6	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palestine	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
